epoch,total_acc,split_acc,loss,avg_margin,total_acc:g0,total_acc:g1,total_acc:g2,total_acc:g3,group0_acc,group1_acc,group2_acc,group3_acc,group0_margin,group1_margin,group2_margin,group3_margin
1,0.9057,0.9057,0.0665,1.1737,0.9718,0.9833,0.5125,0.2451,0.9718,0.9833,0.5125,0.2451,1.4700,1.3788,-0.2130,-1.1389
2,0.9290,0.9290,0.0615,1.6225,0.9633,0.9857,0.6933,0.3194,0.9633,0.9857,0.6933,0.3194,1.8946,1.8182,0.3582,-1.0127
3,0.9337,0.9337,0.0600,1.7434,0.9620,0.9878,0.7236,0.3216,0.9620,0.9878,0.7236,0.3216,1.9681,1.9770,0.5238,-1.0062
4,0.9382,0.9382,0.0547,1.8493,0.9621,0.9894,0.7503,0.3252,0.9621,0.9894,0.7503,0.3252,2.0312,2.1244,0.6489,-1.0073
5,0.9410,0.9410,0.0519,1.9424,0.9616,0.9905,0.7692,0.3317,0.9616,0.9905,0.7692,0.3317,2.0810,2.2642,0.7470,-1.0154
6,0.9433,0.9433,0.0502,2.0308,0.9608,0.9913,0.7843,0.3490,0.9608,0.9913,0.7843,0.3490,2.1373,2.3945,0.8185,-1.0043
7,0.9453,0.9453,0.0471,2.1093,0.9608,0.9921,0.7961,0.3504,0.9608,0.9921,0.7961,0.3504,2.2068,2.4954,0.8618,-0.9654
8,0.9467,0.9467,0.0497,2.1540,0.9612,0.9920,0.8047,0.3518,0.9612,0.9920,0.8047,0.3518,2.2372,2.5610,0.8922,-0.9543
9,0.9474,0.9474,0.0479,2.2070,0.9599,0.9930,0.8101,0.3655,0.9599,0.9930,0.8101,0.3655,2.2878,2.6242,0.9248,-0.9320
10,0.9489,0.9489,0.0446,2.2412,0.9606,0.9929,0.8183,0.3742,0.9606,0.9929,0.8183,0.3742,2.3100,2.6714,0.9600,-0.9221
11,0.9496,0.9496,0.0470,2.2746,0.9615,0.9935,0.8185,0.3771,0.9615,0.9935,0.8185,0.3771,2.3435,2.7095,0.9810,-0.9146
12,0.9504,0.9504,0.0449,2.3014,0.9615,0.9935,0.8243,0.3764,0.9615,0.9935,0.8243,0.3764,2.3657,2.7444,0.9997,-0.9066
13,0.9514,0.9514,0.0426,2.3360,0.9618,0.9939,0.8286,0.3879,0.9618,0.9939,0.8286,0.3879,2.4008,2.7827,1.0234,-0.8941
14,0.9519,0.9519,0.0417,2.3477,0.9616,0.9943,0.8319,0.3814,0.9616,0.9943,0.8319,0.3814,2.4072,2.7968,1.0452,-0.8911
