epoch,total_acc,split_acc,loss,avg_margin,total_acc:g0,total_acc:g1,total_acc:g2,total_acc:g3,total_acc:g4,total_acc:g5,total_acc:g6,total_acc:g7,group0_acc,group1_acc,group2_acc,group3_acc,group4_acc,group5_acc,group6_acc,group7_acc,group0_margin,group1_margin,group2_margin,group3_margin,group4_margin,group5_margin,group6_margin,group7_margin
1,0.7370,0.7370,0.2262,0.1040,0.7640,0.5615,0.1549,0.2840,0.8234,0.9049,0.7209,0.5429,0.7640,0.5615,0.1549,0.2840,0.8234,0.9049,0.7209,0.5429,0.1317,-0.1222,-0.6734,-0.4244,0.2559,0.4063,0.1001,-0.1042
2,0.6663,0.6663,0.2200,0.0384,0.6708,0.6839,0.3662,0.5741,0.6494,0.7562,0.6045,0.6246,0.6708,0.6839,0.3662,0.5741,0.6494,0.7562,0.6045,0.6246,0.0426,-0.0090,-0.4367,-0.1599,0.0880,0.2301,0.0216,-0.0078
3,0.6945,0.6945,0.2151,0.0879,0.7000,0.6959,0.3521,0.5679,0.6927,0.7965,0.6338,0.6520,0.7000,0.6959,0.3521,0.5679,0.6927,0.7965,0.6338,0.6520,0.0925,0.0299,-0.4949,-0.1741,0.1722,0.3311,0.0636,0.0312
4,0.6947,0.6947,0.2003,0.0938,0.6942,0.7057,0.4225,0.5679,0.7273,0.8180,0.6576,0.6762,0.6942,0.7057,0.4225,0.5679,0.7273,0.8180,0.6576,0.6762,0.0875,0.0702,-0.4393,-0.1371,0.2264,0.3952,0.1048,0.0549
5,0.7165,0.7165,0.2044,0.1387,0.7175,0.7079,0.3662,0.5494,0.7580,0.8470,0.6848,0.6948,0.7175,0.7079,0.3662,0.5494,0.7580,0.8470,0.6848,0.6948,0.1317,0.1075,-0.5105,-0.1636,0.3079,0.4846,0.1491,0.0922
6,0.7247,0.7247,0.2013,0.1682,0.7233,0.7240,0.3944,0.6111,0.7668,0.8552,0.7038,0.7128,0.7233,0.7240,0.3944,0.6111,0.7668,0.8552,0.7038,0.7128,0.1551,0.1535,-0.5457,-0.1574,0.3592,0.5536,0.1997,0.1406
7,0.7446,0.7446,0.1865,0.2269,0.7445,0.7328,0.3944,0.5556,0.7966,0.8814,0.7219,0.7276,0.7445,0.7328,0.3944,0.5556,0.7966,0.8814,0.7219,0.7276,0.2143,0.2012,-0.6507,-0.2219,0.4601,0.6838,0.2489,0.1784
8,0.7481,0.7481,0.1830,0.2626,0.7468,0.7419,0.2958,0.5926,0.7961,0.8892,0.7247,0.7429,0.7468,0.7419,0.2958,0.5926,0.7961,0.8892,0.7247,0.7429,0.2479,0.2552,-0.7691,-0.1699,0.4978,0.7375,0.2734,0.2220
9,0.7696,0.7696,0.1747,0.3261,0.7697,0.7577,0.2676,0.5494,0.8234,0.8935,0.7438,0.7586,0.7697,0.7577,0.2676,0.5494,0.8234,0.8935,0.7438,0.7586,0.3153,0.3010,-0.8008,-0.3044,0.5618,0.8091,0.3295,0.2665
10,0.7850,0.7850,0.1800,0.3977,0.7859,0.7673,0.2394,0.5062,0.8429,0.9147,0.7608,0.7681,0.7859,0.7673,0.2394,0.5062,0.8429,0.9147,0.7608,0.7681,0.3903,0.3592,-0.9241,-0.3213,0.6489,0.9454,0.3842,0.3018
11,0.7822,0.7822,0.1737,0.4293,0.7801,0.7787,0.2394,0.5123,0.8383,0.9159,0.7638,0.7790,0.7801,0.7787,0.2394,0.5123,0.8383,0.9159,0.7638,0.7790,0.4172,0.4091,-1.1673,-0.3489,0.6936,1.0018,0.4164,0.3648
12,0.7980,0.7980,0.1605,0.5085,0.7956,0.7915,0.2535,0.4938,0.8641,0.9393,0.7823,0.7942,0.7956,0.7915,0.2535,0.4938,0.8641,0.9393,0.7823,0.7942,0.4958,0.4806,-1.3850,-0.5215,0.8253,1.1987,0.4920,0.4096
13,0.8086,0.8086,0.1520,0.5942,0.8053,0.8084,0.1408,0.4136,0.8767,0.9393,0.7985,0.8073,0.8053,0.8084,0.1408,0.4136,0.8767,0.9393,0.7985,0.8073,0.5839,0.5478,-1.5489,-0.5877,0.9291,1.3316,0.5731,0.4742
14,0.8176,0.8176,0.1433,0.6733,0.8137,0.8192,0.1408,0.3704,0.8914,0.9534,0.8043,0.8230,0.8137,0.8192,0.1408,0.3704,0.8914,0.9534,0.8043,0.8230,0.6605,0.6205,-1.7539,-0.6725,1.0606,1.5231,0.6474,0.5497
15,0.8306,0.8306,0.1521,0.7835,0.8263,0.8346,0.1549,0.3765,0.8964,0.9566,0.8279,0.8324,0.8263,0.8346,0.1549,0.3765,0.8964,0.9566,0.8279,0.8324,0.7719,0.7143,-2.0604,-0.8677,1.2043,1.6874,0.7661,0.6313
16,0.8416,0.8416,0.1309,0.8925,0.8368,0.8515,0.0986,0.3333,0.9040,0.9534,0.8383,0.8519,0.8368,0.8515,0.0986,0.3333,0.9040,0.9534,0.8383,0.8519,0.8840,0.8283,-2.2070,-1.0815,1.2899,1.8246,0.8563,0.7180
17,0.8508,0.8508,0.1193,0.9991,0.8452,0.8630,0.0845,0.3704,0.9065,0.9656,0.8501,0.8682,0.8452,0.8630,0.0845,0.3704,0.9065,0.9656,0.8501,0.8682,0.9836,0.9278,-2.6903,-1.0723,1.4793,2.0832,0.9894,0.8262
18,0.8716,0.8716,0.1028,1.1989,0.8681,0.8775,0.1268,0.3642,0.9214,0.9663,0.8714,0.8755,0.8681,0.8775,0.1268,0.3642,0.9214,0.9663,0.8714,0.8755,1.1996,1.0631,-3.0006,-1.1941,1.6813,2.3174,1.1502,0.9269
19,0.8832,0.8832,0.0992,1.3621,0.8790,0.8923,0.0423,0.2963,0.9298,0.9714,0.8857,0.8943,0.8790,0.8923,0.0423,0.2963,0.9298,0.9714,0.8857,0.8943,1.3664,1.2119,-3.5332,-1.6352,1.8712,2.5505,1.3038,1.0488
20,0.8940,0.8940,0.1009,1.5600,0.8909,0.9019,0.0986,0.3272,0.9275,0.9734,0.8954,0.9023,0.8909,0.9019,0.0986,0.3272,0.9275,0.9734,0.8954,0.9023,1.5781,1.3551,-3.7368,-1.6908,2.0330,2.7991,1.4741,1.1696
21,0.9011,0.9011,0.0794,1.7108,0.8978,0.9138,0.0986,0.2963,0.9235,0.9738,0.9075,0.9050,0.8978,0.9138,0.0986,0.2963,0.9235,0.9738,0.9075,0.9050,1.7309,1.4735,-3.7297,-1.9829,2.2084,2.9981,1.6486,1.2956
22,0.9147,0.9147,0.0899,1.9389,0.9118,0.9262,0.0986,0.2778,0.9237,0.9761,0.9245,0.9225,0.9118,0.9262,0.0986,0.2778,0.9237,0.9761,0.9245,0.9225,1.9744,1.6411,-4.5125,-1.9360,2.3895,3.2626,1.8372,1.4605
23,0.9217,0.9217,0.0760,2.1602,0.9201,0.9286,0.1127,0.2840,0.9320,0.9738,0.9248,0.9278,0.9201,0.9286,0.1127,0.2840,0.9320,0.9738,0.9248,0.9278,2.2224,1.7797,-4.1709,-2.1909,2.5516,3.4459,1.9693,1.5689
24,0.9355,0.9355,0.0539,2.4018,0.9342,0.9452,0.1268,0.2654,0.9334,0.9793,0.9375,0.9457,0.9342,0.9452,0.1268,0.2654,0.9334,0.9793,0.9375,0.9457,2.4812,1.9548,-5.0961,-2.4593,2.7647,3.7205,2.1742,1.7241
25,0.9464,0.9464,0.0500,2.7459,0.9453,0.9550,0.0563,0.2901,0.9449,0.9793,0.9496,0.9558,0.9453,0.9550,0.0563,0.2901,0.9449,0.9793,0.9496,0.9558,2.8544,2.1787,-5.8194,-2.8480,3.1101,4.1095,2.4335,1.9292
