epoch,total_acc,split_acc,loss,avg_margin,total_acc:g0,total_acc:g1,total_acc:g2,total_acc:g3,group0_acc,group1_acc,group2_acc,group3_acc,group0_margin,group1_margin,group2_margin,group3_margin
1,0.9028,0.9028,0.0769,0.9336,0.9752,0.9870,0.4723,0.2019,0.9752,0.9870,0.4723,0.2019,1.1713,1.1383,-0.2916,-1.0072
2,0.9250,0.9250,0.0798,0.9772,0.9720,0.9918,0.6255,0.2199,0.9720,0.9918,0.6255,0.2199,1.1364,1.1766,0.0036,-0.7972
3,0.9247,0.9247,0.0826,0.9137,0.9769,0.9949,0.6022,0.1651,0.9769,0.9949,0.6022,0.1651,1.0534,1.1429,-0.0848,-0.8775
4,0.9253,0.9253,0.0812,0.9194,0.9800,0.9966,0.5924,0.1528,0.9800,0.9966,0.5924,0.1528,1.0684,1.1483,-0.1036,-0.9330
5,0.9282,0.9282,0.0772,0.9255,0.9792,0.9964,0.6158,0.1615,0.9792,0.9964,0.6158,0.1615,1.0654,1.1514,-0.0615,-0.9111
6,0.9287,0.9287,0.0786,0.9312,0.9792,0.9964,0.6188,0.1730,0.9792,0.9964,0.6188,0.1730,1.0707,1.1589,-0.0594,-0.9101
7,0.9300,0.9300,0.0787,0.9381,0.9784,0.9965,0.6288,0.1925,0.9784,0.9965,0.6288,0.1925,1.0729,1.1667,-0.0410,-0.9007
8,0.9306,0.9306,0.0761,0.9384,0.9776,0.9962,0.6371,0.1810,0.9776,0.9962,0.6371,0.1810,1.0722,1.1659,-0.0342,-0.8970
9,0.9302,0.9302,0.0780,0.9402,0.9777,0.9964,0.6323,0.1968,0.9777,0.9964,0.6323,0.1968,1.0740,1.1704,-0.0391,-0.9118
10,0.9311,0.9311,0.0747,0.9429,0.9769,0.9967,0.6421,0.1738,0.9769,0.9967,0.6421,0.1738,1.0743,1.1717,-0.0246,-0.9078
11,0.9306,0.9306,0.0768,0.9438,0.9773,0.9966,0.6374,0.1730,0.9773,0.9966,0.6374,0.1730,1.0755,1.1738,-0.0273,-0.9235
12,0.9312,0.9312,0.0770,0.9449,0.9771,0.9967,0.6418,0.1846,0.9771,0.9967,0.6418,0.1846,1.0759,1.1739,-0.0223,-0.9068
13,0.9314,0.9314,0.0767,0.9458,0.9770,0.9964,0.6435,0.1853,0.9770,0.9964,0.6435,0.1853,1.0773,1.1745,-0.0216,-0.9174
14,0.9322,0.9322,0.0754,0.9481,0.9774,0.9969,0.6470,0.1817,0.9774,0.9969,0.6470,0.1817,1.0785,1.1774,-0.0179,-0.9105
15,0.9318,0.9318,0.0756,0.9496,0.9771,0.9964,0.6463,0.1810,0.9771,0.9964,0.6463,0.1810,1.0810,1.1777,-0.0153,-0.9147
16,0.9324,0.9324,0.0774,0.9530,0.9768,0.9963,0.6517,0.1846,0.9768,0.9963,0.6517,0.1846,1.0820,1.1807,-0.0031,-0.9138
17,0.9324,0.9324,0.0753,0.9518,0.9769,0.9967,0.6510,0.1795,0.9769,0.9967,0.6510,0.1795,1.0810,1.1808,-0.0091,-0.9107
18,0.9318,0.9318,0.0737,0.9511,0.9765,0.9966,0.6477,0.1882,0.9765,0.9966,0.6477,0.1882,1.0795,1.1797,-0.0064,-0.9013
19,0.9323,0.9323,0.0735,0.9535,0.9769,0.9965,0.6504,0.1839,0.9769,0.9965,0.6504,0.1839,1.0815,1.1826,-0.0037,-0.9157
20,0.9325,0.9325,0.0761,0.9545,0.9775,0.9969,0.6503,0.1608,0.9775,0.9969,0.6503,0.1608,1.0828,1.1846,-0.0065,-0.9126
21,0.9328,0.9328,0.0760,0.9549,0.9773,0.9967,0.6528,0.1766,0.9773,0.9967,0.6528,0.1766,1.0836,1.1840,-0.0038,-0.9225
22,0.9333,0.9333,0.0759,0.9564,0.9768,0.9968,0.6577,0.1788,0.9768,0.9968,0.6577,0.1788,1.0834,1.1852,0.0041,-0.9177
23,0.9325,0.9325,0.0743,0.9536,0.9774,0.9966,0.6512,0.1586,0.9774,0.9966,0.6512,0.1586,1.0811,1.1838,-0.0043,-0.9348
24,0.9318,0.9318,0.0757,0.9545,0.9760,0.9967,0.6512,0.1500,0.9760,0.9967,0.6512,0.1500,1.0805,1.1853,0.0001,-0.9391
25,0.9330,0.9330,0.0731,0.9556,0.9775,0.9967,0.6544,0.1651,0.9775,0.9967,0.6544,0.1651,1.0815,1.1864,0.0006,-0.9238
26,0.9331,0.9331,0.0751,0.9589,0.9767,0.9967,0.6570,0.1752,0.9767,0.9967,0.6570,0.1752,1.0844,1.1895,0.0060,-0.9166
27,0.9333,0.9333,0.0728,0.9587,0.9765,0.9967,0.6595,0.1673,0.9765,0.9967,0.6595,0.1673,1.0826,1.1883,0.0142,-0.9297
28,0.9333,0.9333,0.0766,0.9586,0.9771,0.9966,0.6567,0.1781,0.9771,0.9966,0.6567,0.1781,1.0837,1.1895,0.0063,-0.9195
29,0.9326,0.9326,0.0743,0.9583,0.9761,0.9967,0.6547,0.1716,0.9761,0.9967,0.6547,0.1716,1.0825,1.1898,0.0062,-0.9135
30,0.9324,0.9324,0.0743,0.9584,0.9761,0.9966,0.6531,0.1810,0.9761,0.9966,0.6531,0.1810,1.0835,1.1886,0.0067,-0.9069
31,0.9327,0.9327,0.0773,0.9599,0.9765,0.9967,0.6545,0.1723,0.9765,0.9967,0.6545,0.1723,1.0857,1.1904,0.0069,-0.9290
32,0.9327,0.9327,0.0730,0.9570,0.9771,0.9966,0.6531,0.1745,0.9771,0.9966,0.6531,0.1745,1.0836,1.1871,0.0023,-0.9246
33,0.9331,0.9331,0.0748,0.9590,0.9768,0.9968,0.6552,0.1903,0.9768,0.9968,0.6552,0.1903,1.0845,1.1886,0.0092,-0.9326
34,0.9328,0.9328,0.0748,0.9588,0.9762,0.9968,0.6565,0.1716,0.9762,0.9968,0.6565,0.1716,1.0844,1.1897,0.0052,-0.9351
35,0.9330,0.9330,0.0730,0.9595,0.9754,0.9970,0.6588,0.1788,0.9754,0.9970,0.6588,0.1788,1.0843,1.1901,0.0081,-0.9119
36,0.9338,0.9338,0.0748,0.9615,0.9769,0.9966,0.6611,0.1745,0.9769,0.9966,0.6611,0.1745,1.0867,1.1927,0.0085,-0.9366
37,0.9336,0.9336,0.0759,0.9597,0.9772,0.9970,0.6575,0.1774,0.9772,0.9970,0.6575,0.1774,1.0859,1.1899,0.0071,-0.9391
38,0.9333,0.9333,0.0750,0.9611,0.9767,0.9969,0.6575,0.1716,0.9767,0.9969,0.6575,0.1716,1.0863,1.1924,0.0081,-0.9328
39,0.9331,0.9331,0.0732,0.9595,0.9762,0.9966,0.6583,0.1802,0.9762,0.9966,0.6583,0.1802,1.0852,1.1899,0.0071,-0.9279
40,0.9331,0.9331,0.0740,0.9608,0.9766,0.9968,0.6564,0.1738,0.9766,0.9968,0.6564,0.1738,1.0863,1.1925,0.0048,-0.9157
41,0.9339,0.9339,0.0747,0.9662,0.9759,0.9967,0.6641,0.1903,0.9759,0.9967,0.6641,0.1903,1.0896,1.1971,0.0193,-0.9113
42,0.9338,0.9338,0.0736,0.9631,0.9770,0.9966,0.6608,0.1810,0.9770,0.9966,0.6608,0.1810,1.0880,1.1938,0.0118,-0.9177
43,0.9325,0.9325,0.0743,0.9614,0.9760,0.9967,0.6545,0.1781,0.9760,0.9967,0.6545,0.1781,1.0859,1.1942,0.0052,-0.9147
44,0.9331,0.9331,0.0738,0.9633,0.9758,0.9967,0.6592,0.1759,0.9758,0.9967,0.6592,0.1759,1.0878,1.1955,0.0088,-0.9214
45,0.9339,0.9339,0.0748,0.9673,0.9765,0.9968,0.6632,0.1745,0.9765,0.9968,0.6632,0.1745,1.0905,1.1987,0.0188,-0.9040
46,0.9334,0.9334,0.0746,0.9651,0.9765,0.9968,0.6591,0.1730,0.9765,0.9968,0.6591,0.1730,1.0904,1.1960,0.0126,-0.9315
47,0.9334,0.9334,0.0741,0.9628,0.9770,0.9967,0.6576,0.1752,0.9770,0.9967,0.6576,0.1752,1.0879,1.1945,0.0084,-0.9238
48,0.9333,0.9333,0.0754,0.9634,0.9765,0.9968,0.6583,0.1745,0.9765,0.9968,0.6583,0.1745,1.0884,1.1951,0.0091,-0.9236
49,0.9333,0.9333,0.0742,0.9667,0.9755,0.9965,0.6626,0.1723,0.9755,0.9965,0.6626,0.1723,1.0908,1.1978,0.0170,-0.9180
50,0.9336,0.9336,0.0706,0.9637,0.9776,0.9967,0.6569,0.1839,0.9776,0.9967,0.6569,0.1839,1.0894,1.1954,0.0072,-0.9265
51,0.9334,0.9334,0.0746,0.9663,0.9768,0.9967,0.6591,0.1622,0.9768,0.9967,0.6591,0.1622,1.0911,1.1981,0.0132,-0.9257
52,0.9329,0.9329,0.0745,0.9654,0.9755,0.9966,0.6592,0.1839,0.9755,0.9966,0.6592,0.1839,1.0886,1.1977,0.0140,-0.9096
53,0.9331,0.9331,0.0718,0.9621,0.9763,0.9968,0.6582,0.1673,0.9763,0.9968,0.6582,0.1673,1.0868,1.1957,0.0039,-0.9384
54,0.9337,0.9337,0.0748,0.9669,0.9760,0.9971,0.6623,0.1680,0.9760,0.9971,0.6623,0.1680,1.0901,1.1994,0.0169,-0.9356
55,0.9333,0.9333,0.0752,0.9645,0.9759,0.9969,0.6603,0.1766,0.9759,0.9969,0.6603,0.1766,1.0888,1.1967,0.0127,-0.9442
56,0.9339,0.9339,0.0755,0.9668,0.9769,0.9969,0.6613,0.1817,0.9769,0.9969,0.6613,0.1817,1.0909,1.1988,0.0154,-0.9286
57,0.9334,0.9334,0.0765,0.9665,0.9758,0.9968,0.6615,0.1702,0.9758,0.9968,0.6615,0.1702,1.0910,1.1977,0.0158,-0.9322
58,0.9341,0.9341,0.0738,0.9672,0.9766,0.9972,0.6628,0.1723,0.9766,0.9972,0.6628,0.1723,1.0908,1.1996,0.0164,-0.9336
59,0.9341,0.9341,0.0741,0.9689,0.9761,0.9969,0.6650,0.1802,0.9761,0.9969,0.6650,0.1802,1.0922,1.1998,0.0220,-0.9118
