epoch,total_acc,group0_acc,group1_acc,group2_acc,group3_acc,split_acc,loss,avg_margin,group0_margin,group1_margin,group2_margin,group3_margin,total_acc:g0,total_acc:g1,total_acc:g2,total_acc:g3
1,0.9773,0.9784,0.9697,0.9789,0.9687,0.9739,0.0259,5.9233,7.5131,5.8800,6.4635,3.8335,0.9805,0.9703,0.9855,0.9728
2,0.9809,0.9819,0.9698,0.9833,0.9749,0.9775,0.0265,6.0811,7.6524,6.1479,6.5863,3.9327,0.9836,0.9712,0.9905,0.9781
3,0.9813,0.9800,0.9712,0.9841,0.9775,0.9782,0.0235,6.2422,7.7891,6.4323,6.7044,4.0378,0.9820,0.9724,0.9904,0.9802
4,0.9816,0.9824,0.9715,0.9833,0.9763,0.9784,0.0235,6.3531,7.8480,6.6208,6.7924,4.1387,0.9839,0.9729,0.9901,0.9794
5,0.9825,0.9826,0.9732,0.9844,0.9775,0.9794,0.0235,6.4665,8.0214,6.7535,6.8625,4.2312,0.9844,0.9748,0.9907,0.9801
6,0.9830,0.9837,0.9731,0.9857,0.9786,0.9803,0.0237,6.5858,8.1673,6.8612,7.0238,4.3024,0.9852,0.9742,0.9917,0.9808
7,0.9828,0.9836,0.9730,0.9848,0.9780,0.9798,0.0239,6.7031,8.2913,7.0294,7.1269,4.3320,0.9851,0.9741,0.9912,0.9809
8,0.9836,0.9840,0.9737,0.9865,0.9791,0.9808,0.0207,6.7921,8.4036,7.1187,7.2377,4.4315,0.9857,0.9749,0.9922,0.9815
9,0.9842,0.9853,0.9756,0.9863,0.9788,0.9815,0.0227,6.9020,8.5231,7.2028,7.3762,4.4905,0.9867,0.9769,0.9923,0.9811
10,0.9843,0.9847,0.9758,0.9854,0.9806,0.9816,0.0197,6.9830,8.6443,7.3486,7.3997,4.5333,0.9862,0.9769,0.9911,0.9829
11,0.9839,0.9862,0.9738,0.9859,0.9792,0.9813,0.0206,7.0576,8.7225,7.4219,7.5222,4.5600,0.9876,0.9747,0.9917,0.9817
12,0.9848,0.9854,0.9758,0.9860,0.9819,0.9823,0.0205,7.1514,8.8862,7.5112,7.6167,4.6092,0.9865,0.9767,0.9917,0.9841
13,0.9843,0.9857,0.9746,0.9857,0.9804,0.9816,0.0196,7.1862,8.9479,7.5045,7.6819,4.6534,0.9870,0.9759,0.9918,0.9827
14,0.9843,0.9852,0.9751,0.9855,0.9798,0.9814,0.0197,7.2549,9.0126,7.5608,7.7777,4.6786,0.9867,0.9761,0.9914,0.9829
15,0.9843,0.9850,0.9750,0.9856,0.9807,0.9816,0.0207,7.3479,9.1227,7.6913,7.8700,4.7014,0.9862,0.9764,0.9914,0.9831
16,0.9852,0.9858,0.9765,0.9864,0.9812,0.9825,0.0192,7.4246,9.2357,7.7645,7.9152,4.7709,0.9871,0.9780,0.9919,0.9838
17,0.9848,0.9854,0.9759,0.9867,0.9805,0.9821,0.0190,7.4679,9.3016,7.8120,7.9709,4.7670,0.9868,0.9771,0.9925,0.9829
18,0.9848,0.9864,0.9758,0.9862,0.9809,0.9823,0.0189,7.5098,9.3321,7.8373,8.0462,4.8186,0.9875,0.9768,0.9915,0.9833
19,0.9849,0.9859,0.9758,0.9865,0.9805,0.9822,0.0209,7.5671,9.4479,7.8371,8.1444,4.8621,0.9872,0.9771,0.9924,0.9828
20,0.9857,0.9862,0.9769,0.9869,0.9820,0.9830,0.0175,7.6250,9.5057,7.9235,8.2135,4.8578,0.9875,0.9781,0.9922,0.9848
21,0.9853,0.9860,0.9757,0.9873,0.9820,0.9827,0.0198,7.6754,9.5740,7.9928,8.2396,4.8890,0.9873,0.9769,0.9924,0.9844
22,0.9851,0.9856,0.9762,0.9873,0.9819,0.9827,0.0190,7.7150,9.6613,8.0131,8.3003,4.8881,0.9867,0.9774,0.9923,0.9840
23,0.9850,0.9857,0.9767,0.9862,0.9810,0.9824,0.0180,7.7196,9.6879,7.9789,8.2913,4.9297,0.9869,0.9781,0.9915,0.9836
24,0.9854,0.9864,0.9759,0.9868,0.9816,0.9826,0.0187,7.7811,9.7466,8.0662,8.4231,4.9166,0.9878,0.9774,0.9921,0.9844
25,0.9855,0.9860,0.9769,0.9870,0.9821,0.9830,0.0190,7.8286,9.8286,8.0796,8.4796,4.9375,0.9874,0.9779,0.9921,0.9846
