epoch,total_acc,group0_acc,group1_acc,group2_acc,group3_acc,split_acc,loss,avg_margin,group0_margin,group1_margin,group2_margin,group3_margin,total_acc:g0,total_acc:g1,total_acc:g2,total_acc:g3
1,0.9526,1.0000,0.9993,0.9200,0.8882,0.9519,0.0273,9.7040,15.1099,12.6076,7.1029,3.9958,1.0000,1.0000,0.9221,0.8882
2,0.9971,1.0000,0.9964,0.9935,0.9978,0.9969,0.0039,9.9234,13.3782,10.4573,9.6754,6.1826,1.0000,0.9971,0.9935,0.9978
3,0.9978,1.0000,0.9971,0.9950,0.9986,0.9977,0.0024,9.9188,12.8305,10.2567,10.2940,6.2941,1.0000,0.9971,0.9957,0.9986
4,0.9982,0.9986,0.9971,0.9978,0.9986,0.9980,0.0027,9.9194,12.4682,10.3034,10.6455,6.2604,0.9993,0.9971,0.9978,0.9986
5,0.9986,0.9993,0.9971,0.9986,0.9986,0.9984,0.0021,9.9519,12.3855,10.2289,10.8615,6.3316,1.0000,0.9971,0.9986,0.9986
6,0.9984,0.9993,0.9964,0.9978,0.9993,0.9982,0.0021,9.9419,12.1890,10.3140,10.9549,6.3099,0.9993,0.9964,0.9986,0.9993
7,0.9991,0.9986,0.9978,0.9978,0.9993,0.9984,0.0021,9.9489,12.1605,10.3280,10.9642,6.3429,0.9993,0.9978,1.0000,0.9993
8,0.9977,0.9993,0.9950,0.9978,0.9978,0.9975,0.0024,9.8985,12.1687,10.3232,10.9233,6.1787,0.9993,0.9950,0.9978,0.9986
9,0.9987,0.9993,0.9978,0.9986,0.9986,0.9986,0.0020,9.9664,12.1474,10.4670,11.0568,6.1944,0.9993,0.9978,0.9993,0.9986
10,0.9980,0.9986,0.9971,0.9957,0.9986,0.9975,0.0025,9.9330,12.0548,10.3689,10.9968,6.3116,0.9986,0.9971,0.9971,0.9993
11,0.9987,0.9986,0.9978,0.9986,0.9993,0.9986,0.0021,9.9449,11.9017,10.4248,11.1712,6.2819,0.9993,0.9978,0.9986,0.9993
12,0.9982,0.9986,0.9978,0.9978,0.9978,0.9980,0.0026,9.8884,11.7338,10.3494,11.1342,6.3364,0.9986,0.9986,0.9978,0.9978
13,0.9982,0.9993,0.9950,0.9986,0.9986,0.9978,0.0027,9.9203,11.7645,10.2948,11.2059,6.4159,0.9993,0.9950,0.9993,0.9993
14,0.9989,0.9986,0.9986,0.9978,0.9993,0.9986,0.0020,9.9827,11.7325,10.5965,11.2591,6.3426,0.9993,0.9986,0.9986,0.9993
15,0.9987,1.0000,0.9971,0.9978,0.9993,0.9986,0.0020,9.9483,11.7358,10.6119,11.2139,6.2318,1.0000,0.9971,0.9986,0.9993
16,0.9987,0.9986,0.9986,0.9971,0.9993,0.9984,0.0020,9.9588,11.7720,10.6198,11.1831,6.2604,0.9986,0.9986,0.9986,0.9993
17,0.9987,0.9993,0.9986,0.9971,0.9986,0.9984,0.0022,9.9530,11.8134,10.5657,11.1087,6.3242,0.9993,0.9986,0.9978,0.9993
18,0.9989,0.9993,0.9986,0.9986,0.9978,0.9986,0.0019,9.9531,11.7029,10.4735,11.1853,6.4506,1.0000,0.9986,0.9986,0.9986
19,0.9989,1.0000,0.9978,1.0000,0.9957,0.9984,0.0023,9.9711,11.7805,10.5231,11.0888,6.4920,1.0000,0.9978,1.0000,0.9978
20,0.9987,1.0000,0.9986,0.9971,0.9993,0.9987,0.0018,9.9656,11.8642,10.4794,10.9631,6.5555,1.0000,0.9986,0.9971,0.9993
21,0.9980,0.9971,0.9971,0.9971,0.9993,0.9977,0.0022,9.9556,11.8412,10.4820,10.9986,6.5007,0.9978,0.9971,0.9978,0.9993
22,0.9984,0.9978,0.9964,0.9986,0.9993,0.9980,0.0020,9.9597,11.8812,10.5558,10.9578,6.4442,0.9986,0.9964,0.9993,0.9993
23,0.9989,0.9993,0.9993,0.9978,0.9978,0.9986,0.0022,9.9563,11.8974,10.4853,11.0126,6.4299,1.0000,0.9993,0.9986,0.9978
24,0.9987,1.0000,0.9971,0.9971,0.9986,0.9982,0.0021,9.9418,11.8414,10.3536,11.0506,6.5216,1.0000,0.9971,0.9986,0.9993
25,0.9984,0.9986,0.9971,0.9986,0.9993,0.9984,0.0020,9.9601,11.8354,10.4606,11.0107,6.5337,0.9986,0.9971,0.9986,0.9993
26,0.9987,0.9993,0.9978,0.9971,0.9993,0.9984,0.0020,9.9732,11.8329,10.4953,11.0244,6.5403,0.9993,0.9978,0.9986,0.9993
27,0.9991,0.9993,0.9978,1.0000,0.9986,0.9989,0.0017,10.0101,11.8957,10.5398,11.0613,6.5435,0.9993,0.9978,1.0000,0.9993
