epoch,total_acc,group0_acc,group1_acc,group2_acc,group3_acc,split_acc,loss,avg_margin,group0_margin,group1_margin,group2_margin,group3_margin,total_acc:g0,total_acc:g1,total_acc:g2,total_acc:g3
1,0.9042,0.7116,0.7026,0.5811,0.0036,0.6835,0.1851,0.5266,0.6400,0.5160,0.4582,-3.6948,0.9546,0.9727,0.5853,0.2596
2,0.9311,0.8407,0.9067,0.7399,0.0000,0.8465,0.1335,1.9875,2.0536,2.2997,1.2178,-3.7826,0.9507,0.9908,0.7399,0.1889
3,0.9376,0.8685,0.9307,0.7716,0.0000,0.8730,0.1146,2.5610,2.5794,3.0279,1.5003,-3.4002,0.9522,0.9946,0.7716,0.1687
4,0.9399,0.8803,0.9414,0.7853,0.0000,0.8845,0.1038,2.8734,2.8792,3.4076,1.6566,-3.1107,0.9521,0.9960,0.7853,0.1550
5,0.9419,0.8875,0.9465,0.7954,0.0000,0.8912,0.1056,3.0969,3.0986,3.6766,1.7599,-2.8845,0.9528,0.9966,0.7954,0.1601
6,0.9442,0.8945,0.9516,0.8070,0.0043,0.8981,0.0934,3.2644,3.2758,3.8574,1.8587,-2.7278,0.9539,0.9970,0.8070,0.1593
7,0.9453,0.8989,0.9553,0.8131,0.0115,0.9024,0.0930,3.4052,3.4429,3.9928,1.9336,-2.5954,0.9539,0.9974,0.8133,0.1644
8,0.9463,0.9030,0.9563,0.8181,0.0151,0.9054,0.0862,3.5164,3.5637,4.1095,1.9984,-2.4803,0.9546,0.9974,0.8186,0.1622
9,0.9477,0.9076,0.9596,0.8234,0.0281,0.9097,0.0832,3.6370,3.6864,4.2480,2.0611,-2.3814,0.9557,0.9975,0.8240,0.1665
10,0.9482,0.9095,0.9608,0.8277,0.0332,0.9116,0.0833,3.7304,3.8044,4.3324,2.1027,-2.2583,0.9556,0.9975,0.8285,0.1694
11,0.9494,0.9133,0.9633,0.8329,0.0541,0.9152,0.0792,3.8188,3.9006,4.4278,2.1486,-2.2148,0.9562,0.9977,0.8335,0.1802
12,0.9497,0.9157,0.9637,0.8333,0.0577,0.9165,0.0775,3.8860,3.9661,4.5063,2.1880,-2.1446,0.9566,0.9977,0.8343,0.1846
13,0.9503,0.9178,0.9656,0.8375,0.0699,0.9189,0.0758,3.9616,4.0548,4.5802,2.2268,-2.0620,0.9568,0.9974,0.8386,0.1839
14,0.9513,0.9203,0.9665,0.8409,0.0678,0.9209,0.0751,4.0247,4.1313,4.6437,2.2472,-2.0034,0.9577,0.9976,0.8420,0.1860
15,0.9519,0.9217,0.9678,0.8444,0.0894,0.9227,0.0723,4.0794,4.1803,4.7155,2.2692,-1.9421,0.9577,0.9976,0.8457,0.2004
16,0.9519,0.9232,0.9684,0.8450,0.0880,0.9237,0.0726,4.1378,4.2442,4.7763,2.3039,-1.8946,0.9576,0.9977,0.8462,0.1925
17,0.9524,0.9255,0.9704,0.8459,0.1132,0.9258,0.0707,4.1985,4.3140,4.8358,2.3419,-1.8606,0.9579,0.9977,0.8472,0.2141
18,0.9530,0.9279,0.9718,0.8494,0.1175,0.9280,0.0667,4.2409,4.3467,4.9058,2.3332,-1.8145,0.9584,0.9975,0.8508,0.2163
19,0.9533,0.9290,0.9721,0.8497,0.1291,0.9287,0.0673,4.3101,4.4222,4.9725,2.3910,-1.7603,0.9587,0.9977,0.8508,0.2235
20,0.9536,0.9303,0.9723,0.8517,0.1327,0.9297,0.0625,4.3408,4.4563,5.0055,2.4029,-1.6995,0.9593,0.9973,0.8528,0.2177
21,0.9543,0.9321,0.9740,0.8545,0.1420,0.9317,0.0651,4.3913,4.5136,5.0549,2.4388,-1.7095,0.9592,0.9977,0.8557,0.2307
22,0.9552,0.9334,0.9737,0.8567,0.1622,0.9326,0.0617,4.4397,4.5610,5.1154,2.4507,-1.5909,0.9604,0.9975,0.8583,0.2444
23,0.9556,0.9359,0.9749,0.8592,0.1665,0.9346,0.0621,4.4933,4.6111,5.1731,2.5060,-1.5903,0.9606,0.9976,0.8600,0.2531
24,0.9556,0.9362,0.9762,0.8589,0.1723,0.9353,0.0637,4.5437,4.6565,5.2468,2.5050,-1.5440,0.9602,0.9976,0.8604,0.2581
25,0.9558,0.9367,0.9760,0.8600,0.1802,0.9356,0.0604,4.5718,4.6904,5.2694,2.5308,-1.5185,0.9606,0.9976,0.8611,0.2588
26,0.9564,0.9389,0.9769,0.8638,0.1911,0.9376,0.0577,4.6282,4.7631,5.3147,2.5683,-1.4542,0.9608,0.9974,0.8650,0.2682
27,0.9575,0.9404,0.9783,0.8667,0.2048,0.9394,0.0551,4.6865,4.8095,5.3986,2.5904,-1.4178,0.9621,0.9976,0.8677,0.2718
28,0.9579,0.9413,0.9791,0.8677,0.2156,0.9403,0.0561,4.7268,4.8446,5.4453,2.6289,-1.3957,0.9622,0.9975,0.8688,0.2934
29,0.9585,0.9441,0.9797,0.8699,0.2127,0.9421,0.0544,4.7751,4.9035,5.5010,2.6230,-1.3534,0.9630,0.9975,0.8710,0.2862
30,0.9587,0.9442,0.9801,0.8702,0.2264,0.9424,0.0539,4.8165,4.9349,5.5514,2.6702,-1.3330,0.9632,0.9975,0.8715,0.2906
31,0.9590,0.9454,0.9812,0.8730,0.2430,0.9440,0.0537,4.8849,5.0078,5.6273,2.7034,-1.2759,0.9632,0.9973,0.8737,0.3050
32,0.9591,0.9458,0.9815,0.8727,0.2430,0.9442,0.0522,4.9146,5.0541,5.6460,2.7136,-1.2502,0.9631,0.9972,0.8740,0.3151
33,0.9602,0.9485,0.9819,0.8761,0.2502,0.9461,0.0479,4.9772,5.1093,5.7222,2.7608,-1.2096,0.9645,0.9975,0.8769,0.3115
34,0.9607,0.9491,0.9830,0.8772,0.2581,0.9470,0.0516,5.0268,5.1696,5.7665,2.7953,-1.2034,0.9648,0.9977,0.8781,0.3273
35,0.9610,0.9502,0.9832,0.8793,0.2761,0.9481,0.0466,5.0516,5.1795,5.8081,2.8140,-1.1158,0.9651,0.9971,0.8803,0.3381
36,0.9616,0.9511,0.9835,0.8823,0.2711,0.9490,0.0485,5.1317,5.2689,5.8916,2.8615,-1.1364,0.9656,0.9973,0.8831,0.3338
37,0.9625,0.9525,0.9846,0.8844,0.2913,0.9505,0.0456,5.1617,5.3044,5.9129,2.8968,-1.0637,0.9664,0.9972,0.8856,0.3518
38,0.9625,0.9532,0.9850,0.8836,0.3014,0.9509,0.0441,5.2091,5.3527,5.9692,2.9166,-1.0428,0.9665,0.9973,0.8847,0.3598
39,0.9635,0.9547,0.9856,0.8891,0.2985,0.9526,0.0448,5.2738,5.4268,6.0233,2.9856,-1.0203,0.9673,0.9973,0.8898,0.3562
40,0.9642,0.9565,0.9861,0.8899,0.3187,0.9538,0.0422,5.3252,5.4746,6.0829,3.0218,-0.9229,0.9680,0.9974,0.8909,0.3778
41,0.9650,0.9577,0.9867,0.8934,0.3180,0.9551,0.0451,5.3994,5.5407,6.1677,3.0940,-0.9164,0.9687,0.9975,0.8944,0.3771
42,0.9658,0.9590,0.9876,0.8954,0.3266,0.9564,0.0416,5.4611,5.6399,6.1977,3.1307,-0.8498,0.9699,0.9974,0.8963,0.3828
43,0.9669,0.9610,0.9879,0.8989,0.3461,0.9581,0.0414,5.5230,5.6872,6.2701,3.2124,-0.8620,0.9709,0.9975,0.8995,0.3973
44,0.9678,0.9618,0.9888,0.9023,0.3497,0.9593,0.0421,5.5917,5.7819,6.3186,3.2592,-0.7982,0.9715,0.9978,0.9034,0.4016
45,0.9680,0.9619,0.9886,0.9026,0.3691,0.9595,0.0394,5.6473,5.8442,6.3674,3.3109,-0.7055,0.9718,0.9975,0.9032,0.4174
46,0.9685,0.9638,0.9894,0.9050,0.3756,0.9610,0.0380,5.7223,5.9116,6.4531,3.3815,-0.6821,0.9720,0.9975,0.9058,0.4268
47,0.9700,0.9647,0.9889,0.9108,0.4023,0.9623,0.0382,5.8118,6.0163,6.5338,3.4521,-0.6308,0.9733,0.9973,0.9115,0.4456
48,0.9710,0.9667,0.9896,0.9131,0.4088,0.9638,0.0348,5.8478,6.0602,6.5492,3.5227,-0.5894,0.9745,0.9976,0.9137,0.4542
49,0.9715,0.9678,0.9904,0.9155,0.4110,0.9650,0.0340,5.9684,6.1925,6.6609,3.6355,-0.5129,0.9752,0.9973,0.9162,0.4513
50,0.9724,0.9692,0.9910,0.9169,0.4081,0.9660,0.0377,6.0347,6.2796,6.7124,3.6840,-0.5170,0.9762,0.9977,0.9177,0.4564
51,0.9736,0.9707,0.9914,0.9211,0.4499,0.9678,0.0318,6.1132,6.3526,6.7913,3.7765,-0.4000,0.9771,0.9976,0.9216,0.4939
52,0.9741,0.9715,0.9913,0.9237,0.4398,0.9684,0.0326,6.2139,6.4750,6.8701,3.8781,-0.3776,0.9776,0.9976,0.9244,0.4802
53,0.9750,0.9722,0.9917,0.9260,0.4542,0.9693,0.0310,6.3106,6.5922,6.9539,3.9524,-0.3473,0.9785,0.9977,0.9267,0.5004
54,0.9769,0.9740,0.9918,0.9330,0.4809,0.9714,0.0303,6.4160,6.6999,7.0471,4.0871,-0.2556,0.9800,0.9977,0.9337,0.5306
55,0.9779,0.9757,0.9928,0.9352,0.4946,0.9729,0.0294,6.4835,6.7959,7.0765,4.1773,-0.1946,0.9811,0.9978,0.9361,0.5371
56,0.9789,0.9767,0.9926,0.9400,0.5004,0.9740,0.0297,6.6125,6.9415,7.1834,4.3234,-0.1392,0.9819,0.9979,0.9405,0.5393
57,0.9797,0.9779,0.9927,0.9422,0.5141,0.9750,0.0273,6.7146,7.0692,7.2673,4.4006,-0.0705,0.9830,0.9976,0.9427,0.5580
58,0.9804,0.9786,0.9930,0.9441,0.5299,0.9758,0.0248,6.8220,7.1938,7.3443,4.5480,-0.0511,0.9836,0.9979,0.9448,0.5645
59,0.9816,0.9795,0.9928,0.9477,0.5350,0.9767,0.0254,6.9288,7.3244,7.4126,4.6942,0.0316,0.9846,0.9980,0.9484,0.5847
60,0.9825,0.9812,0.9932,0.9509,0.5681,0.9783,0.0236,7.0585,7.4720,7.5305,4.8054,0.1100,0.9856,0.9979,0.9513,0.5984
61,0.9837,0.9822,0.9941,0.9537,0.5703,0.9796,0.0244,7.1869,7.6123,7.6365,4.9648,0.1916,0.9867,0.9984,0.9543,0.6099
62,0.9849,0.9837,0.9940,0.9579,0.5797,0.9809,0.0202,7.3037,7.7478,7.7205,5.1228,0.2519,0.9879,0.9982,0.9585,0.6251
63,0.9864,0.9855,0.9941,0.9632,0.6200,0.9828,0.0206,7.4821,7.9517,7.8734,5.3008,0.3535,0.9892,0.9981,0.9638,0.6518
64,0.9865,0.9846,0.9942,0.9631,0.6366,0.9825,0.0196,7.5705,8.0351,7.9474,5.4483,0.4109,0.9888,0.9984,0.9639,0.6748
65,0.9874,0.9860,0.9945,0.9653,0.6424,0.9836,0.0178,7.7172,8.2263,8.0507,5.5876,0.4784,0.9901,0.9985,0.9659,0.6720
66,0.9888,0.9877,0.9952,0.9708,0.6604,0.9856,0.0183,7.8707,8.3676,8.2069,5.7763,0.5534,0.9913,0.9983,0.9713,0.6936
67,0.9896,0.9887,0.9953,0.9732,0.6914,0.9867,0.0181,8.0142,8.5656,8.2862,5.9381,0.6685,0.9917,0.9984,0.9738,0.7210
68,0.9897,0.9884,0.9948,0.9734,0.6756,0.9863,0.0162,8.1176,8.6621,8.3931,6.0570,0.7083,0.9919,0.9985,0.9741,0.7109
69,0.9911,0.9902,0.9956,0.9763,0.7138,0.9881,0.0157,8.2975,8.8734,8.5285,6.2729,0.8094,0.9930,0.9988,0.9769,0.7541
70,0.9918,0.9908,0.9958,0.9789,0.7304,0.9890,0.0163,8.4426,9.0119,8.6712,6.4508,0.8796,0.9938,0.9987,0.9793,0.7635
71,0.9921,0.9915,0.9959,0.9805,0.7383,0.9896,0.0144,8.5707,9.1581,8.7821,6.5741,0.9728,0.9940,0.9985,0.9809,0.7664
72,0.9932,0.9930,0.9963,0.9822,0.7534,0.9908,0.0119,8.7223,9.3003,8.9213,6.7937,1.0968,0.9953,0.9990,0.9826,0.7772
