epoch,total_acc,group0_acc,group1_acc,group2_acc,group3_acc,split_acc,loss,avg_margin,group0_margin,group1_margin,group2_margin,group3_margin,total_acc:g0,total_acc:g1,total_acc:g2,total_acc:g3
1,0.8367,1.0000,0.9928,0.7477,0.5934,0.8335,0.0995,8.5077,15.9057,12.7590,4.7369,0.6292,1.0000,1.0000,0.7491,0.5977
2,0.9665,0.9986,0.9892,0.9185,0.9430,0.9623,0.0223,8.9923,14.2083,10.5724,7.5423,3.6463,0.9993,0.9978,0.9250,0.9438
3,0.9834,0.9986,0.9913,0.9517,0.9733,0.9787,0.0132,9.0732,13.4505,9.9170,8.6193,4.3061,0.9986,0.9986,0.9603,0.9762
4,0.9876,0.9993,0.9913,0.9661,0.9813,0.9845,0.0101,9.1529,12.9578,9.6125,9.2799,4.7615,0.9993,0.9950,0.9733,0.9827
5,0.9903,0.9971,0.9870,0.9791,0.9841,0.9868,0.0095,9.1273,12.5772,9.3771,9.6669,4.8882,0.9978,0.9913,0.9841,0.9877
6,0.9906,0.9993,0.9863,0.9805,0.9841,0.9876,0.0080,9.1403,12.2497,9.2229,9.9791,5.1093,0.9993,0.9906,0.9863,0.9863
7,0.9913,0.9971,0.9885,0.9805,0.9906,0.9892,0.0080,9.1417,11.9959,9.1679,10.1583,5.2448,0.9978,0.9899,0.9849,0.9928
8,0.9921,0.9971,0.9863,0.9870,0.9885,0.9897,0.0075,9.1847,11.8996,9.1376,10.3905,5.3112,0.9978,0.9892,0.9899,0.9913
9,0.9921,0.9957,0.9863,0.9834,0.9892,0.9886,0.0079,9.1633,11.7504,9.1241,10.4833,5.2956,0.9971,0.9899,0.9906,0.9906
10,0.9932,0.9950,0.9870,0.9841,0.9906,0.9892,0.0074,9.1377,11.6236,9.0595,10.5655,5.3022,0.9964,0.9921,0.9921,0.9921
11,0.9906,0.9892,0.9856,0.9863,0.9870,0.9870,0.0081,9.1095,11.5712,9.0120,10.5605,5.2944,0.9921,0.9877,0.9928,0.9899
12,0.9899,0.9906,0.9834,0.9870,0.9899,0.9877,0.0077,9.1164,11.4522,8.9687,10.6368,5.4081,0.9913,0.9856,0.9913,0.9913
13,0.9921,0.9942,0.9870,0.9805,0.9913,0.9883,0.0075,9.1241,11.4793,8.9697,10.6603,5.3869,0.9957,0.9899,0.9899,0.9928
14,0.9930,0.9921,0.9892,0.9870,0.9913,0.9899,0.0073,9.1577,11.4584,9.0162,10.7477,5.4084,0.9928,0.9913,0.9942,0.9935
15,0.9935,0.9950,0.9863,0.9877,0.9928,0.9904,0.0070,9.1592,11.4397,9.0663,10.7729,5.3578,0.9964,0.9899,0.9935,0.9942
16,0.9942,0.9913,0.9892,0.9892,0.9971,0.9917,0.0069,9.1758,11.4480,9.0660,10.7173,5.4717,0.9942,0.9892,0.9950,0.9986
17,0.9890,0.9877,0.9870,0.9798,0.9877,0.9856,0.0086,9.1419,11.4145,9.0893,10.7075,5.3562,0.9885,0.9885,0.9870,0.9921
18,0.9935,0.9928,0.9856,0.9877,0.9942,0.9901,0.0074,9.1235,11.3828,9.0755,10.6620,5.3736,0.9935,0.9877,0.9971,0.9957
19,0.9924,0.9892,0.9863,0.9899,0.9913,0.9892,0.0072,9.1310,11.3910,9.0185,10.6632,5.4512,0.9928,0.9899,0.9942,0.9928
20,0.9941,0.9928,0.9913,0.9863,0.9957,0.9915,0.0063,9.1637,11.4649,9.0476,10.6603,5.4821,0.9942,0.9921,0.9942,0.9957
21,0.9922,0.9913,0.9849,0.9877,0.9928,0.9892,0.0071,9.1525,11.4028,9.0874,10.6872,5.4325,0.9935,0.9870,0.9942,0.9942
22,0.9917,0.9935,0.9849,0.9798,0.9942,0.9881,0.0082,9.1596,11.4014,9.0645,10.7374,5.4351,0.9950,0.9870,0.9892,0.9957
23,0.9903,0.9906,0.9877,0.9863,0.9863,0.9877,0.0088,9.1211,11.3015,9.0682,10.7170,5.3977,0.9913,0.9906,0.9913,0.9877
24,0.9924,0.9928,0.9877,0.9856,0.9935,0.9899,0.0072,9.1332,11.3193,9.1008,10.6890,5.4234,0.9950,0.9892,0.9913,0.9942
25,0.9928,0.9935,0.9877,0.9849,0.9913,0.9894,0.0075,9.1413,11.3322,9.0983,10.7064,5.4281,0.9950,0.9913,0.9921,0.9928
26,0.9910,0.9906,0.9863,0.9870,0.9877,0.9879,0.0078,9.1381,11.2679,9.0879,10.7635,5.4331,0.9921,0.9899,0.9928,0.9892
27,0.9919,0.9899,0.9856,0.9856,0.9942,0.9888,0.0068,9.1419,11.2813,9.0814,10.7174,5.4877,0.9899,0.9892,0.9935,0.9950
28,0.9924,0.9921,0.9870,0.9885,0.9913,0.9897,0.0070,9.0996,11.2243,9.0776,10.6863,5.4101,0.9935,0.9899,0.9950,0.9913
29,0.9908,0.9913,0.9841,0.9863,0.9877,0.9874,0.0085,9.1020,11.2701,9.0441,10.6777,5.4160,0.9921,0.9885,0.9921,0.9906
30,0.9919,0.9921,0.9877,0.9834,0.9856,0.9872,0.0079,9.1108,11.2854,9.0387,10.6723,5.4469,0.9950,0.9906,0.9913,0.9906
31,0.9901,0.9899,0.9813,0.9834,0.9935,0.9870,0.0077,9.1410,11.2457,9.0581,10.7325,5.5275,0.9913,0.9841,0.9899,0.9950
32,0.9926,0.9950,0.9870,0.9899,0.9942,0.9915,0.0065,9.1593,11.2735,9.0963,10.7656,5.5018,0.9950,0.9885,0.9921,0.9950
33,0.9913,0.9899,0.9877,0.9849,0.9899,0.9881,0.0073,9.1306,11.2748,9.0926,10.7218,5.4332,0.9913,0.9885,0.9935,0.9921
34,0.9926,0.9921,0.9870,0.9892,0.9885,0.9892,0.0075,9.1340,11.2735,9.1578,10.6333,5.4712,0.9935,0.9899,0.9964,0.9906
35,0.9946,0.9935,0.9870,0.9870,0.9971,0.9912,0.0064,9.1580,11.2780,9.1136,10.6897,5.5506,0.9950,0.9892,0.9964,0.9978
36,0.9932,0.9935,0.9877,0.9856,0.9899,0.9892,0.0076,9.1330,11.2890,9.1178,10.6999,5.4255,0.9957,0.9913,0.9935,0.9921
37,0.9921,0.9885,0.9870,0.9841,0.9913,0.9877,0.0071,9.1235,11.2590,9.0806,10.6447,5.5095,0.9921,0.9899,0.9921,0.9942
38,0.9933,0.9935,0.9892,0.9856,0.9950,0.9908,0.0064,9.1673,11.2569,9.1601,10.6954,5.5568,0.9950,0.9913,0.9906,0.9964
