epoch,total_acc,group0_acc,group1_acc,group2_acc,group3_acc,split_acc,loss,avg_margin,group0_margin,group1_margin,group2_margin,group3_margin,total_acc:g0,total_acc:g1,total_acc:g2,total_acc:g3
1,0.8565,0.7555,0.3688,0.1892,0.0007,0.5106,0.3133,-0.0713,0.1183,-0.0465,-0.5930,-2.4516,0.9766,0.9709,0.1907,0.1269
2,0.8805,0.6849,0.6033,0.5623,0.0000,0.6283,0.2762,0.1947,0.3650,0.1620,-0.0130,-3.5903,0.9444,0.9323,0.5623,0.3331
3,0.8914,0.7106,0.7429,0.6066,0.0000,0.7032,0.2357,0.6011,0.8320,0.6054,0.1398,-3.9206,0.9414,0.9479,0.6066,0.2862
4,0.9061,0.7409,0.8333,0.6566,0.0000,0.7607,0.2046,1.0163,1.2617,1.0754,0.3771,-3.9682,0.9379,0.9725,0.6566,0.1781
5,0.9140,0.7680,0.8654,0.6908,0.0000,0.7906,0.1804,1.3370,1.5899,1.4372,0.5693,-3.8942,0.9378,0.9809,0.6908,0.1442
6,0.9175,0.7866,0.8853,0.7088,0.0000,0.8095,0.1703,1.5890,1.8542,1.7234,0.6903,-3.7650,0.9363,0.9848,0.7088,0.1363
7,0.9212,0.8015,0.8984,0.7246,0.0000,0.8237,0.1620,1.7802,2.0492,1.9428,0.7949,-3.6978,0.9380,0.9870,0.7246,0.1211
8,0.9230,0.8099,0.9070,0.7293,0.0000,0.8315,0.1518,1.9201,2.1847,2.1150,0.8576,-3.6177,0.9389,0.9889,0.7293,0.1190
9,0.9248,0.8174,0.9120,0.7372,0.0000,0.8381,0.1484,2.0391,2.3013,2.2572,0.9202,-3.5664,0.9393,0.9901,0.7372,0.1175
10,0.9251,0.8223,0.9160,0.7391,0.0000,0.8421,0.1442,2.1248,2.3821,2.3661,0.9536,-3.4806,0.9389,0.9904,0.7391,0.1276
11,0.9261,0.8271,0.9206,0.7420,0.0000,0.8465,0.1384,2.2015,2.4584,2.4623,0.9779,-3.4524,0.9396,0.9915,0.7420,0.1154
12,0.9271,0.8311,0.9220,0.7471,0.0000,0.8495,0.1373,2.2709,2.5214,2.5496,1.0175,-3.4229,0.9397,0.9918,0.7471,0.1197
13,0.9280,0.8338,0.9261,0.7513,0.0000,0.8530,0.1331,2.3248,2.5672,2.6201,1.0477,-3.3614,0.9398,0.9926,0.7513,0.1197
14,0.9289,0.8375,0.9272,0.7548,0.0000,0.8556,0.1348,2.3804,2.6215,2.6910,1.0648,-3.3426,0.9408,0.9927,0.7548,0.1139
15,0.9294,0.8399,0.9302,0.7575,0.0000,0.8582,0.1326,2.4319,2.6653,2.7568,1.0997,-3.3152,0.9403,0.9936,0.7575,0.1081
16,0.9300,0.8436,0.9312,0.7587,0.0000,0.8605,0.1306,2.4678,2.7012,2.7996,1.1170,-3.2961,0.9414,0.9937,0.7587,0.0981
17,0.9301,0.8458,0.9324,0.7597,0.0000,0.8621,0.1308,2.5134,2.7425,2.8545,1.1491,-3.2620,0.9410,0.9938,0.7597,0.1002
18,0.9306,0.8475,0.9326,0.7613,0.0000,0.8631,0.1266,2.5405,2.7708,2.8874,1.1559,-3.2282,0.9412,0.9944,0.7613,0.0995
19,0.9312,0.8508,0.9336,0.7635,0.0000,0.8653,0.1226,2.5773,2.7968,2.9384,1.1871,-3.2368,0.9420,0.9944,0.7635,0.0944
20,0.9324,0.8526,0.9359,0.7670,0.0000,0.8675,0.1202,2.6111,2.8278,2.9805,1.2056,-3.2062,0.9430,0.9949,0.7670,0.1031
21,0.9321,0.8537,0.9356,0.7676,0.0000,0.8680,0.1207,2.6407,2.8460,3.0247,1.2300,-3.2026,0.9418,0.9952,0.7676,0.1002
22,0.9330,0.8564,0.9361,0.7702,0.0000,0.8698,0.1218,2.6824,2.8883,3.0748,1.2469,-3.1841,0.9431,0.9953,0.7702,0.0988
23,0.9334,0.8586,0.9379,0.7723,0.0000,0.8717,0.1220,2.7140,2.9178,3.1120,1.2686,-3.1600,0.9433,0.9954,0.7723,0.0937
24,0.9337,0.8600,0.9386,0.7735,0.0000,0.8728,0.1213,2.7494,2.9459,3.1601,1.2918,-3.1488,0.9435,0.9953,0.7735,0.0959
25,0.9336,0.8617,0.9387,0.7718,0.0000,0.8734,0.1190,2.7814,2.9749,3.2016,1.3072,-3.1528,0.9437,0.9957,0.7718,0.0923
26,0.9340,0.8628,0.9404,0.7755,0.0000,0.8750,0.1169,2.8124,3.0162,3.2245,1.3288,-3.1071,0.9431,0.9957,0.7755,0.0988
27,0.9348,0.8647,0.9414,0.7765,0.0000,0.8765,0.1173,2.8295,3.0181,3.2599,1.3410,-3.1061,0.9444,0.9960,0.7765,0.0973
28,0.9346,0.8653,0.9403,0.7767,0.0000,0.8763,0.1136,2.8668,3.0540,3.3060,1.3573,-3.0830,0.9444,0.9957,0.7767,0.0815
29,0.9352,0.8663,0.9421,0.7795,0.0000,0.8779,0.1156,2.8813,3.0712,3.3178,1.3713,-3.0579,0.9447,0.9959,0.7795,0.0872
30,0.9352,0.8683,0.9417,0.7799,0.0000,0.8787,0.1110,2.9185,3.1189,3.3475,1.4006,-3.0703,0.9443,0.9959,0.7799,0.0930
31,0.9357,0.8689,0.9420,0.7809,0.0000,0.8792,0.1114,2.9296,3.1182,3.3753,1.3984,-3.0369,0.9450,0.9961,0.7809,0.0966
32,0.9363,0.8700,0.9434,0.7832,0.0000,0.8805,0.1148,2.9499,3.1393,3.3955,1.4178,-3.0391,0.9454,0.9963,0.7832,0.0959
33,0.9366,0.8702,0.9430,0.7858,0.0000,0.8808,0.1075,2.9705,3.1656,3.4110,1.4337,-2.9909,0.9454,0.9962,0.7858,0.1002
34,0.9361,0.8717,0.9450,0.7825,0.0000,0.8819,0.1110,2.9977,3.1959,3.4430,1.4388,-2.9985,0.9452,0.9965,0.7825,0.0851
35,0.9367,0.8726,0.9436,0.7848,0.0000,0.8820,0.1094,2.9988,3.1834,3.4547,1.4521,-3.0049,0.9456,0.9966,0.7848,0.0966
36,0.9365,0.8741,0.9444,0.7829,0.0000,0.8827,0.1099,3.0188,3.2161,3.4653,1.4582,-2.9576,0.9460,0.9963,0.7829,0.0937
37,0.9372,0.8748,0.9461,0.7874,0.0000,0.8843,0.1063,3.0331,3.2290,3.4775,1.4850,-2.9757,0.9460,0.9965,0.7874,0.0901
38,0.9372,0.8750,0.9459,0.7865,0.0000,0.8842,0.1049,3.0410,3.2387,3.4879,1.4792,-2.9483,0.9463,0.9965,0.7865,0.0923
39,0.9376,0.8764,0.9465,0.7879,0.0000,0.8853,0.1099,3.0568,3.2587,3.5020,1.4867,-2.9339,0.9469,0.9963,0.7879,0.1009
40,0.9370,0.8756,0.9469,0.7854,0.0000,0.8847,0.1085,3.0640,3.2596,3.5210,1.4798,-2.9379,0.9463,0.9964,0.7854,0.0952
41,0.9375,0.8761,0.9471,0.7891,0.0000,0.8856,0.1090,3.0835,3.2796,3.5350,1.5135,-2.9106,0.9462,0.9965,0.7891,0.0981
