epoch,total_acc,group0_acc,group1_acc,group2_acc,group3_acc,split_acc,loss,avg_margin,group0_margin,group1_margin,group2_margin,group3_margin,total_acc:g0,total_acc:g1,total_acc:g2,total_acc:g3
1,0.9363,0.8878,0.9421,0.8163,0.1139,0.8935,0.6662,1.2073,1.1689,1.5023,0.5867,-0.7913,0.9375,0.9905,0.8189,0.1983
2,0.9368,0.8775,0.9503,0.8221,0.0209,0.8923,0.6231,0.5061,0.5847,0.5011,0.3265,-0.3476,0.9343,0.9956,0.8226,0.1132
3,0.9367,0.8776,0.9515,0.8191,0.0072,0.8923,0.6190,0.4759,0.5583,0.4556,0.3255,-0.3150,0.9351,0.9955,0.8195,0.1139
4,0.9372,0.8775,0.9518,0.8207,0.0079,0.8927,0.6292,0.4709,0.5545,0.4487,0.3208,-0.3064,0.9355,0.9960,0.8211,0.1110
5,0.9369,0.8764,0.9514,0.8215,0.0101,0.8921,0.6324,0.4636,0.5433,0.4431,0.3209,-0.3121,0.9344,0.9960,0.8218,0.1146
6,0.9382,0.8772,0.9527,0.8250,0.0050,0.8934,0.5812,0.4618,0.5394,0.4436,0.3190,-0.3104,0.9362,0.9961,0.8253,0.1132
7,0.9375,0.8771,0.9505,0.8232,0.0079,0.8923,0.6418,0.4659,0.5409,0.4527,0.3173,-0.3185,0.9351,0.9961,0.8235,0.1132
8,0.9371,0.8773,0.9511,0.8204,0.0101,0.8922,0.6724,0.4763,0.5540,0.4620,0.3234,-0.3246,0.9353,0.9960,0.8208,0.1154
9,0.9377,0.8778,0.9524,0.8224,0.0065,0.8933,0.6432,0.4655,0.5480,0.4427,0.3208,-0.3099,0.9362,0.9958,0.8226,0.1139
10,0.9369,0.8762,0.9513,0.8224,0.0087,0.8921,0.6581,0.4704,0.5549,0.4455,0.3264,-0.3104,0.9340,0.9963,0.8225,0.1081
11,0.9376,0.8773,0.9522,0.8223,0.0058,0.8929,0.6542,0.4654,0.5468,0.4439,0.3200,-0.3054,0.9355,0.9962,0.8224,0.1197
12,0.9372,0.8757,0.9510,0.8234,0.0050,0.8918,0.6419,0.4701,0.5472,0.4536,0.3248,-0.3184,0.9346,0.9958,0.8235,0.1168
13,0.9374,0.8758,0.9523,0.8226,0.0072,0.8923,0.6144,0.4708,0.5488,0.4544,0.3229,-0.3192,0.9350,0.9963,0.8228,0.1146
14,0.9373,0.8767,0.9508,0.8219,0.0079,0.8921,0.6281,0.4735,0.5552,0.4525,0.3270,-0.3146,0.9351,0.9959,0.8222,0.1161
15,0.9382,0.8787,0.9517,0.8260,0.0115,0.8939,0.6485,0.4666,0.5433,0.4514,0.3186,-0.3205,0.9358,0.9960,0.8264,0.1161
16,0.9374,0.8764,0.9510,0.8208,0.0094,0.8918,0.6338,0.4796,0.5629,0.4581,0.3299,-0.3137,0.9355,0.9962,0.8211,0.1118
17,0.9375,0.8777,0.9523,0.8232,0.0087,0.8933,0.6185,0.4652,0.5435,0.4482,0.3179,-0.3267,0.9353,0.9959,0.8234,0.1168
18,0.9377,0.8780,0.9520,0.8245,0.0087,0.8935,0.6367,0.4639,0.5450,0.4411,0.3236,-0.3138,0.9353,0.9960,0.8247,0.1118
19,0.9380,0.8776,0.9527,0.8257,0.0043,0.8937,0.6360,0.4576,0.5359,0.4379,0.3161,-0.3051,0.9356,0.9962,0.8260,0.1096
20,0.9380,0.8774,0.9528,0.8249,0.0050,0.8936,0.5935,0.4580,0.5380,0.4366,0.3166,-0.3049,0.9355,0.9962,0.8253,0.1146
21,0.9382,0.8785,0.9523,0.8248,0.0043,0.8938,0.5930,0.4638,0.5443,0.4429,0.3191,-0.3031,0.9365,0.9960,0.8250,0.1096
22,0.9369,0.8771,0.9514,0.8204,0.0072,0.8922,0.6309,0.4676,0.5471,0.4497,0.3189,-0.3193,0.9348,0.9958,0.8208,0.1132
23,0.9379,0.8773,0.9527,0.8253,0.0058,0.8935,0.6370,0.4538,0.5345,0.4301,0.3160,-0.3049,0.9351,0.9961,0.8256,0.1204
24,0.9372,0.8767,0.9511,0.8201,0.0094,0.8919,0.6211,0.4730,0.5549,0.4526,0.3242,-0.3161,0.9355,0.9962,0.8204,0.1074
25,0.9382,0.8775,0.9526,0.8247,0.0050,0.8935,0.6195,0.4627,0.5408,0.4445,0.3182,-0.3083,0.9361,0.9962,0.8249,0.1132
