epoch,total_acc,group0_acc,group1_acc,group2_acc,group3_acc,split_acc,loss,avg_margin,group0_margin,group1_margin,group2_margin,group3_margin,total_acc:g0,total_acc:g1,total_acc:g2,total_acc:g3
1,0.6615,0.9149,0.9358,0.6157,0.0050,0.6179,0.2521,1.3496,4.2953,3.5609,0.5679,-3.0257,0.9733,0.9971,0.6157,0.0598
2,0.7217,0.8962,0.9185,0.7657,0.1060,0.6716,0.1710,1.6063,3.5574,2.8375,1.6110,-1.5806,0.9481,0.9841,0.7707,0.1839
3,0.7947,0.8789,0.8861,0.8349,0.3792,0.7448,0.1298,1.6892,3.0631,2.0280,2.1718,-0.5059,0.9236,0.9466,0.8493,0.4593
4,0.8380,0.8645,0.8313,0.8565,0.5905,0.7857,0.1168,1.6898,2.7329,1.4857,2.4327,0.1080,0.9056,0.8933,0.8868,0.6662
5,0.8466,0.8508,0.8003,0.8659,0.6770,0.7985,0.1124,1.6619,2.4854,1.1686,2.5658,0.4277,0.8911,0.8493,0.8983,0.7477
6,0.8553,0.8500,0.7895,0.8702,0.7159,0.8064,0.1110,1.6695,2.4165,1.1094,2.5955,0.5564,0.8911,0.8392,0.9106,0.7801
7,0.8504,0.8443,0.7815,0.8652,0.7159,0.8017,0.1103,1.6645,2.3767,1.0741,2.6020,0.6050,0.8868,0.8298,0.9063,0.7787
8,0.8513,0.8399,0.7758,0.8702,0.7347,0.8052,0.1106,1.6588,2.3062,1.0491,2.6113,0.6687,0.8810,0.8183,0.9120,0.7938
9,0.8553,0.8385,0.7823,0.8637,0.7484,0.8082,0.1101,1.6585,2.2962,1.0517,2.6010,0.6853,0.8825,0.8205,0.9113,0.8068
10,0.8571,0.8349,0.7880,0.8695,0.7491,0.8104,0.1088,1.6599,2.3026,1.0764,2.5843,0.6761,0.8839,0.8270,0.9156,0.8017
11,0.8531,0.8313,0.7808,0.8623,0.7419,0.8041,0.1094,1.6611,2.2836,1.0794,2.5752,0.7061,0.8810,0.8198,0.9135,0.7981
12,0.8520,0.8306,0.7902,0.8645,0.7347,0.8050,0.1099,1.6517,2.2518,1.1107,2.5504,0.6940,0.8839,0.8248,0.9149,0.7844
13,0.8542,0.8335,0.7895,0.8623,0.7354,0.8052,0.1092,1.6661,2.2940,1.1192,2.5528,0.6983,0.8818,0.8313,0.9128,0.7909
14,0.8518,0.8356,0.7851,0.8645,0.7368,0.8055,0.1104,1.6527,2.2733,1.0897,2.5416,0.7062,0.8825,0.8241,0.9099,0.7909
15,0.8540,0.8363,0.7924,0.8580,0.7448,0.8079,0.1092,1.6669,2.2973,1.1307,2.5319,0.7078,0.8839,0.8262,0.9063,0.7996
16,0.8531,0.8363,0.7873,0.8616,0.7397,0.8062,0.1098,1.6472,2.2744,1.0899,2.5013,0.7231,0.8832,0.8241,0.9128,0.7924
17,0.8553,0.8277,0.7888,0.8637,0.7433,0.8059,0.1087,1.6562,2.2769,1.1231,2.4979,0.7270,0.8796,0.8277,0.9156,0.7981
18,0.8535,0.8371,0.7880,0.8609,0.7390,0.8062,0.1084,1.6703,2.2834,1.1371,2.5352,0.7253,0.8868,0.8226,0.9142,0.7902
19,0.8545,0.8363,0.7873,0.8594,0.7498,0.8082,0.1084,1.6685,2.2983,1.1231,2.5180,0.7345,0.8839,0.8241,0.9092,0.8010
20,0.8562,0.8306,0.7938,0.8630,0.7390,0.8066,0.1096,1.6609,2.2422,1.1303,2.5253,0.7459,0.8825,0.8291,0.9185,0.7945
21,0.8554,0.8378,0.7888,0.8623,0.7498,0.8097,0.1082,1.6707,2.3014,1.1399,2.5065,0.7349,0.8810,0.8234,0.9149,0.8025
22,0.8560,0.8342,0.7888,0.8616,0.7498,0.8086,0.1079,1.6763,2.3102,1.1406,2.5102,0.7441,0.8832,0.8234,0.9149,0.8025
23,0.8565,0.8363,0.7960,0.8558,0.7469,0.8088,0.1088,1.6855,2.3062,1.1578,2.5328,0.7452,0.8868,0.8298,0.9077,0.8017
