epoch,total_acc,group0_acc,group1_acc,group2_acc,group3_acc,split_acc,loss,avg_margin,group0_margin,group1_margin,group2_margin,group3_margin,total_acc:g0,total_acc:g1,total_acc:g2,total_acc:g3
1,0.8690,0.9980,0.3241,0.0987,0.2322,0.5882,0.0208,5.7529,16.5817,-1.0257,-7.8934,-1.5376,1.0000,1.0000,0.1146,0.2322
2,0.8523,1.0000,0.0109,0.0000,0.1766,0.4460,0.0058,1.3760,15.5372,-9.3533,-11.4092,-1.7404,1.0000,0.9997,0.0000,0.1766
3,0.8524,1.0000,0.0040,0.0000,0.1896,0.4433,0.0033,0.6234,15.1828,-10.6123,-11.9734,-1.7437,1.0000,0.9997,0.0000,0.1896
4,0.8524,1.0000,0.0024,0.0000,0.1853,0.4426,0.0026,0.1964,14.9606,-11.2981,-12.3062,-1.8223,1.0000,0.9998,0.0000,0.1853
5,0.8523,1.0000,0.0015,0.0000,0.1716,0.4421,0.0031,-0.0995,14.7649,-11.7156,-12.5742,-1.8974,1.0000,0.9999,0.0000,0.1716
6,0.8524,1.0000,0.0011,0.0000,0.1795,0.4420,0.0024,-0.3270,14.6121,-12.0366,-12.7721,-1.9564,1.0000,0.9999,0.0000,0.1795
7,0.8523,0.9999,0.0009,0.0000,0.1680,0.4418,0.0013,-0.5155,14.4759,-12.2906,-12.9402,-2.0231,1.0000,0.9999,0.0000,0.1680
8,0.8523,1.0000,0.0008,0.0000,0.1716,0.4418,0.0010,-0.6720,14.3625,-12.4993,-13.0849,-2.0799,1.0000,0.9999,0.0000,0.1716
9,0.8522,0.9999,0.0005,0.0000,0.1579,0.4416,0.0018,-0.8092,14.2489,-12.6668,-13.2126,-2.1366,1.0000,0.9999,0.0000,0.1579
10,0.8523,1.0000,0.0006,0.0000,0.1637,0.4417,0.0022,-0.9332,14.1506,-12.8238,-13.3252,-2.1819,1.0000,0.9999,0.0000,0.1637
11,0.8521,0.9999,0.0006,0.0000,0.1428,0.4415,0.0044,-1.0451,13.9845,-12.8405,-13.5348,-2.4722,1.0000,0.9999,0.0000,0.1428
12,0.8512,0.9995,0.0017,0.0000,0.0397,0.4409,0.0031,-1.2116,13.1944,-12.0406,-14.4761,-4.2597,1.0000,1.0000,0.0000,0.0397
13,0.8510,0.9986,0.0035,0.0000,0.0050,0.4409,0.0040,-1.3843,12.4856,-11.3536,-15.3841,-6.0624,1.0000,1.0000,0.0000,0.0050
14,0.8509,0.9979,0.0036,0.0000,0.0007,0.4406,0.0028,-1.5188,12.3600,-11.4125,-15.7300,-6.8108,1.0000,1.0000,0.0000,0.0007
15,0.8509,0.9976,0.0035,0.0000,0.0007,0.4404,0.0024,-1.6429,12.2396,-11.4805,-16.0053,-7.3340,1.0000,1.0000,0.0000,0.0007
16,0.8509,0.9966,0.0037,0.0000,0.0000,0.4401,0.0023,-1.7692,12.0765,-11.5236,-16.2432,-7.7350,1.0000,1.0000,0.0000,0.0000
17,0.8509,0.9962,0.0031,0.0000,0.0000,0.4397,0.0030,-1.8764,12.0391,-11.6882,-16.3944,-7.9569,1.0000,1.0000,0.0000,0.0000
18,0.8509,0.9955,0.0032,0.0000,0.0000,0.4394,0.0033,-1.9838,11.8990,-11.7264,-16.5909,-8.2367,1.0000,1.0000,0.0000,0.0000
19,0.8509,0.9942,0.0030,0.0000,0.0000,0.4387,0.0034,-2.0960,11.7779,-11.8065,-16.7611,-8.4784,1.0000,1.0000,0.0000,0.0000
20,0.8509,0.9932,0.0028,0.0000,0.0000,0.4382,0.0062,-2.1936,11.6974,-11.9027,-16.9094,-8.6878,1.0000,1.0000,0.0000,0.0000
21,0.8509,0.9906,0.0033,0.0000,0.0000,0.4373,0.0020,-2.3055,11.4560,-11.8358,-17.1321,-8.9052,1.0000,1.0000,0.0000,0.0000
22,0.8509,0.9895,0.0031,0.0000,0.0000,0.4367,0.0021,-2.4065,11.3927,-11.9735,-17.2426,-9.0284,1.0000,1.0000,0.0000,0.0000
23,0.8509,0.9877,0.0032,0.0000,0.0000,0.4359,0.0042,-2.4968,11.2805,-12.0201,-17.3894,-9.1636,1.0000,1.0000,0.0000,0.0000
24,0.8509,0.9863,0.0031,0.0000,0.0000,0.4353,0.0021,-2.5859,11.1881,-12.0968,-17.5017,-9.3065,1.0000,1.0000,0.0000,0.0000
25,0.8509,0.9850,0.0029,0.0000,0.0000,0.4347,0.0023,-2.6714,11.1267,-12.2042,-17.5990,-9.3805,1.0000,1.0000,0.0000,0.0000
