epoch,total_acc,group0_acc,group1_acc,group2_acc,group3_acc,split_acc,loss,avg_margin,group0_margin,group1_margin,group2_margin,group3_margin,total_acc:g0,total_acc:g1,total_acc:g2,total_acc:g3
1,0.9135,0.7821,0.7943,0.6494,0.0000,0.7618,0.1309,1.1069,1.1967,1.2468,0.7115,-3.7508,0.9515,0.9773,0.6494,0.2350
2,0.9374,0.8769,0.9305,0.7736,0.0000,0.8769,0.1083,2.6179,2.5650,3.1677,1.5302,-3.2198,0.9510,0.9949,0.7736,0.1723
3,0.9423,0.8940,0.9472,0.8010,0.0022,0.8952,0.0953,3.1598,3.1189,3.7972,1.7833,-2.7571,0.9520,0.9965,0.8011,0.1601
4,0.9454,0.9029,0.9543,0.8145,0.0202,0.9041,0.0881,3.4700,3.4560,4.1338,1.9349,-2.4927,0.9541,0.9970,0.8151,0.1644
5,0.9467,0.9105,0.9593,0.8208,0.0483,0.9106,0.0813,3.6889,3.6901,4.3662,2.0666,-2.2637,0.9548,0.9970,0.8217,0.1723
6,0.9490,0.9168,0.9634,0.8315,0.0613,0.9166,0.0773,3.8725,3.9192,4.5370,2.1476,-2.1258,0.9559,0.9973,0.8326,0.1824
7,0.9499,0.9212,0.9667,0.8347,0.0981,0.9207,0.0756,4.0132,4.0586,4.7018,2.2205,-1.9562,0.9564,0.9974,0.8358,0.2055
8,0.9515,0.9258,0.9700,0.8424,0.1024,0.9253,0.0699,4.1396,4.2057,4.8244,2.2963,-1.8865,0.9577,0.9973,0.8435,0.2091
9,0.9521,0.9287,0.9722,0.8445,0.1247,0.9279,0.0685,4.2418,4.2993,4.9534,2.3459,-1.7706,0.9578,0.9975,0.8461,0.2228
10,0.9538,0.9338,0.9744,0.8504,0.1391,0.9320,0.0653,4.3529,4.4327,5.0529,2.4228,-1.6815,0.9596,0.9976,0.8520,0.2206
11,0.9546,0.9365,0.9759,0.8560,0.1673,0.9348,0.0652,4.4801,4.5538,5.2090,2.4859,-1.5813,0.9597,0.9972,0.8573,0.2372
12,0.9562,0.9391,0.9780,0.8618,0.1954,0.9379,0.0595,4.5563,4.6348,5.2908,2.5283,-1.4579,0.9608,0.9976,0.8629,0.2639
13,0.9567,0.9419,0.9797,0.8625,0.2213,0.9401,0.0560,4.6772,4.7358,5.4590,2.5762,-1.3901,0.9612,0.9976,0.8639,0.2877
14,0.9577,0.9453,0.9809,0.8667,0.2358,0.9428,0.0531,4.7804,4.8446,5.5605,2.6679,-1.3010,0.9622,0.9972,0.8678,0.2992
15,0.9589,0.9487,0.9834,0.8721,0.2408,0.9461,0.0527,4.8864,4.9403,5.6970,2.7199,-1.2457,0.9633,0.9973,0.8730,0.2985
16,0.9610,0.9525,0.9850,0.8789,0.2797,0.9498,0.0510,5.0212,5.0671,5.8518,2.8229,-1.1300,0.9650,0.9974,0.8800,0.3331
17,0.9615,0.9537,0.9865,0.8812,0.3021,0.9514,0.0453,5.1368,5.1840,5.9920,2.8630,-1.0213,0.9652,0.9974,0.8821,0.3468
18,0.9627,0.9574,0.9882,0.8836,0.3172,0.9542,0.0466,5.2665,5.3200,6.1142,2.9970,-0.9286,0.9670,0.9973,0.8844,0.3641
19,0.9648,0.9603,0.9897,0.8917,0.3403,0.9574,0.0429,5.3866,5.4150,6.2813,3.0611,-0.8591,0.9684,0.9974,0.8931,0.3857
20,0.9661,0.9636,0.9908,0.8939,0.3634,0.9599,0.0402,5.5124,5.5564,6.3977,3.1680,-0.7720,0.9703,0.9974,0.8951,0.4045
21,0.9683,0.9661,0.9918,0.9036,0.3879,0.9629,0.0389,5.6566,5.7146,6.5299,3.3048,-0.6443,0.9719,0.9976,0.9042,0.4189
22,0.9706,0.9697,0.9932,0.9102,0.4203,0.9663,0.0322,5.8246,5.8964,6.6859,3.4665,-0.5117,0.9745,0.9978,0.9109,0.4506
23,0.9730,0.9720,0.9935,0.9184,0.4708,0.9690,0.0310,6.0154,6.1147,6.8332,3.6998,-0.3425,0.9762,0.9978,0.9193,0.5025
24,0.9751,0.9747,0.9944,0.9255,0.4917,0.9718,0.0283,6.2144,6.3127,7.0386,3.8901,-0.2638,0.9781,0.9980,0.9264,0.5177
25,0.9782,0.9783,0.9949,0.9360,0.5299,0.9754,0.0274,6.3954,6.5185,7.1716,4.1351,-0.1003,0.9812,0.9980,0.9365,0.5609
26,0.9807,0.9805,0.9954,0.9439,0.5775,0.9780,0.0272,6.6518,6.7810,7.4125,4.4241,0.0511,0.9832,0.9982,0.9443,0.6020
27,0.9834,0.9842,0.9960,0.9521,0.5963,0.9812,0.0217,6.9128,7.0888,7.6076,4.7349,0.2477,0.9865,0.9982,0.9525,0.6200
28,0.9856,0.9857,0.9957,0.9590,0.6381,0.9831,0.0198,7.1694,7.3944,7.7770,5.1004,0.3893,0.9881,0.9986,0.9596,0.6633
29,0.9882,0.9886,0.9963,0.9682,0.6640,0.9861,0.0161,7.4465,7.6895,8.0170,5.4365,0.5520,0.9906,0.9984,0.9685,0.6914
30,0.9897,0.9902,0.9967,0.9725,0.7044,0.9879,0.0150,7.7610,8.0134,8.2967,5.8280,0.7899,0.9918,0.9987,0.9729,0.7311
31,0.9921,0.9928,0.9974,0.9789,0.7484,0.9907,0.0122,8.0683,8.3280,8.5692,6.2206,0.9912,0.9942,0.9989,0.9792,0.7686
32,0.9939,0.9944,0.9979,0.9838,0.7880,0.9926,0.0093,8.3985,8.6820,8.8269,6.6935,1.2330,0.9956,0.9992,0.9841,0.8133
33,0.9951,0.9954,0.9980,0.9872,0.8205,0.9938,0.0084,8.7463,9.0280,9.1591,7.0999,1.4520,0.9965,0.9994,0.9876,0.8443
34,0.9968,0.9971,0.9986,0.9925,0.8659,0.9959,0.0083,9.0862,9.3458,9.5023,7.5068,1.6784,0.9978,0.9995,0.9927,0.8825
35,0.9969,0.9969,0.9986,0.9925,0.8738,0.9959,0.0068,9.3222,9.5960,9.6920,7.8367,1.8552,0.9978,0.9996,0.9929,0.8919
36,0.9979,0.9977,0.9987,0.9951,0.9027,0.9969,0.0056,9.6202,9.8922,10.0121,8.0828,2.0416,0.9985,0.9996,0.9953,0.9243
37,0.9983,0.9984,0.9990,0.9963,0.9135,0.9976,0.0049,9.8858,10.1596,10.2706,8.3669,2.2443,0.9988,0.9997,0.9966,0.9337
38,0.9988,0.9988,0.9994,0.9975,0.9373,0.9983,0.0045,10.1362,10.3775,10.5169,8.7319,2.4805,0.9993,0.9998,0.9976,0.9531
39,0.9989,0.9987,0.9993,0.9969,0.9481,0.9983,0.0044,10.4014,10.5832,10.8513,8.9926,2.5554,0.9992,0.9999,0.9972,0.9668
40,0.9992,0.9993,0.9994,0.9977,0.9553,0.9988,0.0037,10.5880,10.7564,11.0585,9.1586,2.7876,0.9996,0.9998,0.9978,0.9668
41,0.9993,0.9993,0.9997,0.9985,0.9625,0.9990,0.0024,10.7901,10.9494,11.2679,9.3691,2.9637,0.9994,1.0000,0.9986,0.9719
42,0.9994,0.9994,0.9997,0.9986,0.9618,0.9991,0.0027,10.9926,11.1443,11.5101,9.4850,3.0712,0.9996,0.9999,0.9988,0.9712
43,0.9994,0.9992,0.9996,0.9986,0.9640,0.9990,0.0029,11.1582,11.3242,11.6523,9.6811,3.1284,0.9996,0.9999,0.9987,0.9762
44,0.9993,0.9993,0.9996,0.9983,0.9654,0.9990,0.0016,11.2364,11.3797,11.7722,9.7091,3.1946,0.9995,0.9999,0.9983,0.9791
45,0.9996,0.9996,0.9998,0.9990,0.9755,0.9994,0.0015,11.4234,11.5085,11.9893,9.9869,3.4450,0.9997,1.0000,0.9991,0.9856
46,0.9995,0.9993,0.9997,0.9988,0.9784,0.9992,0.0016,11.5611,11.7133,12.1029,9.9922,3.4616,0.9996,0.9999,0.9989,0.9834
