epoch,total_acc,group0_acc,group1_acc,group2_acc,group3_acc,split_acc,loss,avg_margin,group0_margin,group1_margin,group2_margin,group3_margin,total_acc:g0,total_acc:g1,total_acc:g2,total_acc:g3
1,0.9945,0.9981,0.9977,0.9909,0.9895,0.9940,0.0036,10.9234,13.5315,11.4936,11.8775,6.7920,0.9982,0.9983,0.9919,0.9897
2,0.9976,0.9971,0.9972,0.9970,0.9975,0.9972,0.0041,10.9479,12.8984,11.3808,12.3946,7.1224,0.9972,0.9976,0.9977,0.9978
3,0.9977,0.9975,0.9978,0.9968,0.9971,0.9973,0.0025,10.9374,12.8726,11.4563,12.2795,7.1901,0.9976,0.9981,0.9974,0.9977
4,0.9980,0.9976,0.9982,0.9970,0.9974,0.9976,0.0034,10.9637,12.8639,11.4824,12.3044,7.2249,0.9978,0.9985,0.9977,0.9979
5,0.9984,0.9981,0.9984,0.9977,0.9981,0.9981,0.0031,11.0002,12.9847,11.6220,12.2498,7.2202,0.9982,0.9985,0.9983,0.9985
6,0.9980,0.9982,0.9981,0.9973,0.9972,0.9977,0.0030,11.0338,12.8802,11.7765,12.2165,7.2459,0.9983,0.9981,0.9978,0.9977
7,0.9981,0.9982,0.9978,0.9974,0.9977,0.9978,0.0029,11.0390,12.8471,11.7805,12.3049,7.2432,0.9982,0.9980,0.9980,0.9981
8,0.9981,0.9981,0.9979,0.9975,0.9976,0.9978,0.0028,11.0891,12.9214,11.8111,12.3237,7.2951,0.9981,0.9982,0.9983,0.9979
9,0.9984,0.9982,0.9985,0.9977,0.9978,0.9981,0.0030,11.0879,12.8949,11.9356,12.1517,7.3736,0.9983,0.9986,0.9983,0.9984
10,0.9982,0.9982,0.9984,0.9973,0.9975,0.9978,0.0032,11.1046,12.9145,11.9515,12.1860,7.3801,0.9982,0.9986,0.9980,0.9979
11,0.9986,0.9987,0.9982,0.9979,0.9984,0.9983,0.0030,11.1315,12.9338,12.0801,12.1668,7.3775,0.9989,0.9983,0.9985,0.9985
12,0.9985,0.9985,0.9984,0.9980,0.9979,0.9982,0.0027,11.1775,12.9749,12.1281,12.2503,7.3421,0.9985,0.9985,0.9986,0.9981
13,0.9987,0.9987,0.9985,0.9980,0.9984,0.9984,0.0031,11.2093,12.9800,12.1646,12.2532,7.4083,0.9989,0.9987,0.9985,0.9987
14,0.9984,0.9983,0.9985,0.9980,0.9978,0.9981,0.0027,11.2239,12.9715,12.1177,12.2911,7.5005,0.9984,0.9985,0.9984,0.9982
15,0.9987,0.9989,0.9986,0.9974,0.9986,0.9984,0.0032,11.2597,12.9990,12.3752,12.2273,7.4690,0.9990,0.9988,0.9979,0.9989
16,0.9986,0.9985,0.9986,0.9979,0.9981,0.9983,0.0026,11.2688,12.9517,12.2824,12.3147,7.5176,0.9986,0.9987,0.9988,0.9984
17,0.9987,0.9988,0.9987,0.9981,0.9982,0.9985,0.0030,11.2964,13.0305,12.3806,12.2027,7.5481,0.9989,0.9989,0.9986,0.9985
18,0.9985,0.9986,0.9980,0.9978,0.9978,0.9981,0.0028,11.2862,13.0238,12.4047,12.2223,7.5062,0.9987,0.9983,0.9985,0.9984
19,0.9987,0.9986,0.9986,0.9982,0.9982,0.9984,0.0025,11.3212,13.0043,12.5217,12.2063,7.5260,0.9986,0.9988,0.9987,0.9986
20,0.9987,0.9986,0.9987,0.9983,0.9981,0.9984,0.0026,11.3303,13.0109,12.5850,12.1583,7.5476,0.9988,0.9989,0.9987,0.9983
21,0.9987,0.9987,0.9986,0.9981,0.9980,0.9984,0.0021,11.3647,13.0198,12.4973,12.2635,7.6407,0.9988,0.9988,0.9986,0.9985
22,0.9986,0.9988,0.9985,0.9981,0.9978,0.9983,0.0024,11.3716,13.0315,12.6020,12.1730,7.6709,0.9989,0.9986,0.9988,0.9981
23,0.9988,0.9987,0.9984,0.9985,0.9981,0.9984,0.0028,11.4041,13.0806,12.6079,12.2139,7.7087,0.9989,0.9988,0.9989,0.9985
24,0.9987,0.9986,0.9986,0.9982,0.9982,0.9984,0.0029,11.4250,13.0657,12.6578,12.2252,7.7312,0.9987,0.9988,0.9987,0.9985
25,0.9987,0.9989,0.9982,0.9981,0.9983,0.9984,0.0030,11.4420,13.1156,12.7711,12.1937,7.6812,0.9991,0.9984,0.9986,0.9986
