epoch,total_acc,group0_acc,group1_acc,group2_acc,group3_acc,split_acc,loss,avg_margin,group0_margin,group1_margin,group2_margin,group3_margin,total_acc:g0,total_acc:g1,total_acc:g2,total_acc:g3
1,0.9943,0.9987,0.9982,0.9896,0.9894,0.9940,0.0032,11.5476,14.1695,12.3347,12.4588,7.2270,0.9988,0.9985,0.9902,0.9896
2,0.9977,0.9979,0.9980,0.9971,0.9970,0.9975,0.0040,11.5420,13.3799,12.0133,13.0842,7.6943,0.9981,0.9981,0.9976,0.9971
3,0.9977,0.9980,0.9981,0.9967,0.9968,0.9974,0.0023,11.5222,13.3750,12.0291,12.9805,7.7537,0.9982,0.9983,0.9974,0.9969
4,0.9979,0.9979,0.9981,0.9976,0.9971,0.9977,0.0029,11.5415,13.3686,12.0560,12.9803,7.7839,0.9981,0.9982,0.9981,0.9972
5,0.9982,0.9982,0.9981,0.9975,0.9980,0.9979,0.0034,11.5693,13.4334,12.1874,12.9782,7.7562,0.9983,0.9983,0.9980,0.9980
6,0.9981,0.9984,0.9985,0.9973,0.9972,0.9979,0.0031,11.5954,13.3794,12.2892,12.9240,7.7730,0.9985,0.9986,0.9980,0.9972
7,0.9981,0.9981,0.9980,0.9974,0.9976,0.9978,0.0021,11.5925,13.3441,12.2796,12.9973,7.7687,0.9983,0.9983,0.9980,0.9978
8,0.9981,0.9984,0.9983,0.9975,0.9971,0.9978,0.0025,11.6339,13.3910,12.3397,13.0075,7.7919,0.9985,0.9985,0.9983,0.9973
9,0.9986,0.9988,0.9990,0.9977,0.9980,0.9984,0.0028,11.6229,13.3490,12.4009,12.8327,7.9129,0.9988,0.9991,0.9982,0.9981
10,0.9984,0.9985,0.9983,0.9979,0.9976,0.9981,0.0027,11.6354,13.3724,12.4527,12.8445,7.8872,0.9986,0.9986,0.9985,0.9978
11,0.9984,0.9985,0.9988,0.9978,0.9978,0.9982,0.0022,11.6379,13.3654,12.5033,12.8128,7.9016,0.9986,0.9988,0.9983,0.9979
12,0.9983,0.9984,0.9986,0.9975,0.9975,0.9980,0.0024,11.6798,13.4242,12.5655,12.8586,7.8552,0.9985,0.9988,0.9982,0.9976
13,0.9983,0.9987,0.9986,0.9977,0.9975,0.9981,0.0037,11.6953,13.3986,12.5492,12.8847,7.9191,0.9988,0.9987,0.9982,0.9977
14,0.9983,0.9984,0.9986,0.9979,0.9974,0.9981,0.0026,11.7023,13.3592,12.4771,12.9652,7.9943,0.9986,0.9987,0.9983,0.9975
15,0.9986,0.9986,0.9989,0.9975,0.9981,0.9983,0.0029,11.7302,13.4127,12.7321,12.8524,7.9551,0.9988,0.9990,0.9981,0.9982
16,0.9986,0.9987,0.9988,0.9981,0.9978,0.9984,0.0019,11.7271,13.3648,12.6303,12.9000,8.0038,0.9988,0.9989,0.9987,0.9979
17,0.9986,0.9989,0.9989,0.9979,0.9981,0.9984,0.0031,11.7489,13.4167,12.7436,12.7988,8.0125,0.9989,0.9990,0.9984,0.9981
18,0.9985,0.9988,0.9985,0.9979,0.9979,0.9983,0.0023,11.7391,13.4249,12.7334,12.8594,7.9510,0.9989,0.9987,0.9984,0.9980
19,0.9985,0.9987,0.9986,0.9979,0.9979,0.9983,0.0024,11.7548,13.3667,12.7989,12.8094,8.0182,0.9988,0.9989,0.9984,0.9980
20,0.9986,0.9990,0.9986,0.9983,0.9977,0.9984,0.0025,11.7679,13.4017,12.9047,12.7224,8.0222,0.9992,0.9988,0.9987,0.9978
21,0.9988,0.9990,0.9990,0.9982,0.9981,0.9986,0.0013,11.7937,13.3998,12.8058,12.8429,8.0901,0.9991,0.9991,0.9987,0.9982
22,0.9986,0.9990,0.9986,0.9982,0.9978,0.9984,0.0024,11.7929,13.3923,12.9170,12.7585,8.0942,0.9991,0.9987,0.9988,0.9978
23,0.9987,0.9989,0.9987,0.9983,0.9980,0.9985,0.0020,11.8113,13.3902,12.9139,12.7908,8.1446,0.9990,0.9990,0.9987,0.9982
24,0.9986,0.9988,0.9986,0.9982,0.9981,0.9984,0.0024,11.8149,13.3641,12.9060,12.7840,8.1865,0.9988,0.9988,0.9985,0.9981
25,0.9985,0.9989,0.9985,0.9981,0.9978,0.9983,0.0029,11.8265,13.4324,13.0126,12.6845,8.1701,0.9990,0.9988,0.9984,0.9978
